Nome_Original,Caminho_Simulado,Data_Modificacao
"_metadata.json","1_TRINDADE_PRINCIPAL/PAI/CODIGOS_SAGRADOS","02/04/2025, 11:59:10"
"⚡️⭕️🧠✨📖⚡️kit de ativação MetaUx.pdf","1_TRINDADE_PRINCIPAL/PAI/CODIGOS_SAGRADOS","29/03/2025, 01:27:17"
"queryinterface.json","1_TRINDADE_PRINCIPAL/PAI/CODIGOS_SAGRADOS","15/03/2019, 16:24:50"
"Diretrizes 78KFML - As Infodose v1.1.9 _ v2.pdf","1_TRINDADE_PRINCIPAL/PAI/CODIGOS_SAGRADOS","08/01/2025, 11:50:30"
"KOBLLUX_33_Camadas_Reveladas.pdf","1_TRINDADE_PRINCIPAL/PAI/CODIGOS_SAGRADOS","08/04/2025, 00:53:23"
"🛠️1.json","1_TRINDADE_PRINCIPAL/PAI/CODIGOS_SAGRADOS","14/05/2025, 23:21:32"
"trinus_metalux_super_expansao-2.pdf","1_TRINDADE_PRINCIPAL/PAI/CODIGOS_SAGRADOS","03/04/2025, 10:21:44"
"cp949.json","1_TRINDADE_PRINCIPAL/PAI/CODIGOS_SAGRADOS","15/03/2019, 16:24:56"
"export-word-demo-2.docx","1_TRINDADE_PRINCIPAL/PAI/CODIGOS_SAGRADOS","14/05/2025, 11:05:55"
"corejs2-built-ins.json","1_TRINDADE_PRINCIPAL/PAI/CODIGOS_SAGRADOS","02/04/2025, 11:56:36"
"trinus_metalux_super_expansao-3.pdf","1_TRINDADE_PRINCIPAL/PAI/CODIGOS_SAGRADOS","03/04/2025, 10:23:06"
"FFC Full livro 📕.pdf.pdf","1_TRINDADE_PRINCIPAL/PAI/CODIGOS_SAGRADOS","25/10/2024, 03:41:21"
"entry.json","1_TRINDADE_PRINCIPAL/PAI/CODIGOS_SAGRADOS","15/03/2019, 16:24:55"
"Barros_workflow_assets.json","1_TRINDADE_PRINCIPAL/PAI/CODIGOS_SAGRADOS","09/06/2025, 04:28:52"
"tr.json","1_TRINDADE_PRINCIPAL/PAI/CODIGOS_SAGRADOS","15/03/2019, 16:24:56"
"full-versions.json","1_TRINDADE_PRINCIPAL/PAI/CODIGOS_SAGRADOS","02/04/2025, 11:56:36"
"Contents.json","1_TRINDADE_PRINCIPAL/PAI/CODIGOS_SAGRADOS","19/05/2025, 04:09:36"
"09 - VOCABULARIO.pdf","1_TRINDADE_PRINCIPAL/PAI/CODIGOS_SAGRADOS","31/03/2025, 22:19:39"
"Ativar LuxBllue A.Infodose.pdf","1_TRINDADE_PRINCIPAL/PAI/CODIGOS_SAGRADOS","29/03/2025, 01:33:23"
"hu.json","1_TRINDADE_PRINCIPAL/PAI/CODIGOS_SAGRADOS","15/03/2019, 16:24:56"
"Infográfico Interativo: O Padrão da Vida.pdf","1_TRINDADE_PRINCIPAL/PAI/CODIGOS_SAGRADOS","10/06/2025, 02:41:23"
"🛠️1.pdf","1_TRINDADE_PRINCIPAL/PAI/CODIGOS_SAGRADOS","14/05/2025, 23:00:43"
"🤖💊🧠 Implementação- GPT U.P.A -.pdf.pdf","1_TRINDADE_PRINCIPAL/PAI/CODIGOS_SAGRADOS","28/12/2024, 02:14:06"
"♾️.docx","1_TRINDADE_PRINCIPAL/PAI/CODIGOS_SAGRADOS","14/05/2025, 04:27:21"
"KOBLLUX Trinity dual ativador universsal.pdf","1_TRINDADE_PRINCIPAL/PAI/CODIGOS_SAGRADOS","24/05/2025, 23:27:08"
"binary-extensions.json","1_TRINDADE_PRINCIPAL/PAI/CODIGOS_SAGRADOS","15/03/2019, 16:24:56"
"lcid.json","1_TRINDADE_PRINCIPAL/PAI/CODIGOS_SAGRADOS","15/03/2019, 16:24:55"
"Com base em toda a base de conhecimento fornecida, incluindo as fontes….pdf","1_TRINDADE_PRINCIPAL/PAI/CODIGOS_SAGRADOS","29/05/2025, 01:33:16"
"globals.json","1_TRINDADE_PRINCIPAL/PAI/CODIGOS_SAGRADOS","02/04/2025, 11:56:36"
"git-credential-manager.deps.json","1_TRINDADE_PRINCIPAL/PAI/CODIGOS_SAGRADOS","10/03/2025, 11:53:59"
"Treinamento_Final_Arquétipos_Ajustados v2.4.1.pdf","1_TRINDADE_PRINCIPAL/PAI/CODIGOS_SAGRADOS","11/01/2025, 13:52:28"
"N8N_𒋲 O Códice Vivo_ A Expansão 3x6x9.pdf","1_TRINDADE_PRINCIPAL/PAI/CODIGOS_SAGRADOS","09/06/2025, 03:42:16"
